Date,Home Team,Road Team,City,State,League,Sport
04/07/23,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
04/07/23,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
04/07/23,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
04/07/23,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
04/07/23,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
04/07/23,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
04/07/23,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
04/07/23,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
04/07/23,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
04/07/23,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
04/07/23,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
04/08/23,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
04/08/23,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
04/08/23,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
04/08/23,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
04/08/23,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
04/08/23,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
04/08/23,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
04/08/23,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
04/08/23,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
04/08/23,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
04/08/23,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
04/08/23,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
04/08/23,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
04/08/23,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
04/08/23,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
04/09/23,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
04/09/23,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
04/09/23,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
04/09/23,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
04/09/23,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
04/09/23,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
04/09/23,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
04/09/23,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
04/09/23,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
04/09/23,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
04/09/23,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
04/09/23,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
04/09/23,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
04/09/23,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
04/09/23,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
04/10/23,Los Angeles Angels,Washington Nationals,Los Angeles,California,MLB,Baseball
04/10/23,Arizona Diamondbacks,Milwaukee Brewers,Phoenix,Arizona,MLB,Baseball
04/10/23,Atlanta Braves,Cincinnati Reds,Atlanta,Georgia,MLB,Baseball
04/10/23,Baltimore Orioles,Oakland Athletics,Baltimore,Maryland,MLB,Baseball
04/10/23,Chicago Cubs,Seattle Mariners,Chicago,Illinois,MLB,Baseball
04/10/23,Cleveland Guardians,New York Yankees,Cleveland,Ohio,MLB,Baseball
04/10/23,Colorado Rockies,St. Louis Cardinals,Denver,Colorado,MLB,Baseball
04/10/23,Minnesota Twins,Chicago White Sox,Minneapolis,Minnesota,MLB,Baseball
04/10/23,New York Mets,San Diego Padres,New York,New York,MLB,Baseball
04/10/23,Philadelphia Phillies,Miami Marlins,Philadelphia,Pennsylvania,MLB,Baseball
04/10/23,Pittsburgh Pirates,Houston Astros,Pittsburgh,Pennsylvania,MLB,Baseball
04/10/23,San Francisco Giants,Los Angeles Dodgers,San Francisco,California,MLB,Baseball
04/10/23,Tampa Bay Rays,Boston Red Sox,Tampa,Florida,MLB,Baseball
04/10/23,Texas Rangers,Kansas City Royals,Arlington,Texas,MLB,Baseball
04/11/23,Los Angeles Angels,Washington Nationals,Los Angeles,California,MLB,Baseball
04/11/23,Arizona Diamondbacks,Milwaukee Brewers,Phoenix,Arizona,MLB,Baseball
