id,game_date,home_team,road_team,city,state,league,sport
97,9/23/2023,Real Salt Lake,Vancouver Whitecaps FC,Sandy,Utah,MLS,Soccer
98,9/23/2023,Portland Timbers,Colorado Rapids,Portland,Oregon,MLS,Soccer
99,9/23/2023,San Jose Earthquakes,Nashville SC,San Jose,California,MLS,Soccer
100,9/24/2023,Orlando City SC,Inter Miami CF,Orlando,Florida,MLS,Soccer
101,9/24/2023,Austin FC,LA Galaxy,Austin,Texas,MLS,Soccer
102,9/30/2023,Inter Miami CF,New York City FC,Fort Lauderdale,Florida,MLS,Soccer
103,9/30/2023,Toronto FC,FC Cincinnati,Toronto,Ontario,MLS,Soccer
104,9/30/2023,New England Revolution,Charlotte FC,Foxborough,Massachusetts,MLS,Soccer
105,9/30/2023,Orlando City SC,CF Montréal,Orlando,Florida,MLS,Soccer
106,9/30/2023,Columbus Crew,Philadelphia Union,Columbus,Ohio,MLS,Soccer
107,9/30/2023,New York Red Bulls,Chicago Fire FC,Harrison,New Jersey,MLS,Soccer
108,9/30/2023,Nashville SC,Seattle Sounders FC,Nashville,Tennessee,MLS,Soccer
109,9/30/2023,St. Louis City SC,Sporting Kansas City,St. Louis,Missouri,MLS,Soccer
110,9/30/2023,Minnesota United FC,San Jose Earthquakes,Saint Paul,Minnesota,MLS,Soccer
111,9/30/2023,Houston Dynamo FC,FC Dallas,Houston,Texas,MLS,Soccer
112,9/30/2023,Colorado Rapids,Austin FC,Commerce City,Colorado,MLS,Soccer
113,9/30/2023,Vancouver Whitecaps FC,D.C. United,Vancouver,British Columbia,MLS,Soccer
114,9/30/2023,LA Galaxy,Portland Timbers,Carson,California,MLS,Soccer
115,10/1/2023,Los Angeles FC,Real Salt Lake,Los Angeles,California,MLS,Soccer
116,10/4/2023,New England Revolution,Columbus Crew,Foxborough,Massachusetts,MLS,Soccer
117,10/4/2023,Charlotte FC,Toronto FC,Charlotte,North Carolina,MLS,Soccer
118,10/4/2023,Philadelphia Union,Atlanta United FC,Chester,Pennsylvania,MLS,Soccer
119,10/4/2023,CF Montréal,Houston Dynamo FC,Montreal,Quebec,MLS,Soccer
120,10/4/2023,FC Cincinnati,New York Red Bulls,Cincinnati,Ohio,MLS,Soccer
121,10/4/2023,Chicago Fire FC,Inter Miami CF,Chicago,Illinois,MLS,Soccer
122,10/4/2023,FC Dallas,Colorado Rapids,Frisco,Texas,MLS,Soccer
123,10/4/2023,Nashville SC,Orlando City SC,Nashville,Tennessee,MLS,Soccer
124,10/4/2023,Austin FC,D.C. United,Austin,Texas,MLS,Soccer
125,10/4/2023,Seattle Sounders FC,LA Galaxy,Seattle,Washington,MLS,Soccer
126,10/4/2023,Los Angeles FC,Minnesota United FC,Los Angeles,California,MLS,Soccer
127,10/4/2023,Vancouver Whitecaps FC,St. Louis City SC,Vancouver,British Columbia,MLS,Soccer
128,10/7/2023,Orlando City SC,New England Revolution,Orlando,Florida,MLS,Soccer
129,10/7/2023,CF Montréal,Portland Timbers,Montreal,Quebec,MLS,Soccer
130,10/7/2023,Inter Miami CF,FC Cincinnati,Fort Lauderdale,Florida,MLS,Soccer
131,10/7/2023,New York Red Bulls,Toronto FC,Harrison,New Jersey,MLS,Soccer
132,10/7/2023,Atlanta United FC,Columbus Crew,Atlanta,Georgia,MLS,Soccer
133,10/7/2023,Philadelphia Union,Nashville SC,Chester,Pennsylvania,MLS,Soccer
134,10/7/2023,D.C. United,New York City FC,Washington D.C.,Washington D.C.,MLS,Soccer
135,10/7/2023,FC Dallas,San Jose Earthquakes,Frisco,Texas,MLS,Soccer
136,10/7/2023,Chicago Fire FC,Charlotte FC,Chicago,Illinois,MLS,Soccer
137,10/7/2023,Minnesota United FC,LA Galaxy,Saint Paul,Minnesota,MLS,Soccer
138,10/7/2023,Austin FC,Los Angeles FC,Austin,Texas,MLS,Soccer
139,10/7/2023,Houston Dynamo FC,Colorado Rapids,Houston,Texas,MLS,Soccer
140,10/7/2023,Real Salt Lake,Sporting Kansas City,Sandy,Utah,MLS,Soccer
141,10/7/2023,Seattle Sounders FC,Vancouver Whitecaps FC,Seattle,Washington,MLS,Soccer
142,10/21/2023,Colorado Rapids,Real Salt Lake,Commerce City,Colorado,MLS,Soccer
143,10/21/2023,Sporting Kansas City,Minnesota United FC,Kansas City,Kansas,MLS,Soccer
144,10/21/2023,New England Revolution,Philadelphia Union,Foxborough,Massachusetts,MLS,Soccer
145,10/21/2023,San Jose Earthquakes,Austin FC,San Jose,California,MLS,Soccer
146,10/21/2023,Vancouver Whitecaps FC,Los Angeles FC,Vancouver,British Columbia,MLS,Soccer
147,10/21/2023,Columbus Crew,CF Montréal,Columbus,Ohio,MLS,Soccer
148,10/21/2023,LA Galaxy,FC Dallas,Carson,California,MLS,Soccer
149,10/21/2023,New York City FC,Chicago Fire FC,New York City,New York,MLS,Soccer
150,10/21/2023,St. Louis City SC,Seattle Sounders FC,St. Louis,Missouri,MLS,Soccer
151,10/21/2023,Toronto FC,Orlando City SC,Toronto,Ontario,MLS,Soccer
152,10/21/2023,FC Cincinnati,Atlanta United FC,Cincinnati,Ohio,MLS,Soccer
153,10/21/2023,Nashville SC,New York Red Bulls,Nashville,Tennessee,MLS,Soccer
154,10/21/2023,Portland Timbers,Houston Dynamo FC,Portland,Oregon,MLS,Soccer
155,10/21/2023,Charlotte FC,Inter Miami CF,Charlotte,North Carolina,MLS,Soccer
156,03/30/2023,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
157,03/30/2023,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
158,03/30/2023,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
159,03/30/2023,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
160,03/30/2023,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
161,03/30/2023,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
162,03/30/2023,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
163,03/30/2023,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
164,03/30/2023,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
165,03/30/2023,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
166,03/30/2023,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
167,03/30/2023,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
168,03/30/2023,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
169,03/30/2023,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
170,03/30/2023,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
171,03/31/2023,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
172,03/31/2023,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
173,03/31/2023,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
174,03/31/2023,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
175,03/31/2023,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
176,04/01/2023,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
177,04/01/2023,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
178,04/01/2023,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
179,04/01/2023,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
180,04/01/2023,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
181,04/01/2023,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
182,04/01/2023,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
183,04/01/2023,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
184,04/01/2023,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
185,04/01/2023,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
186,04/01/2023,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
187,04/01/2023,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
188,04/01/2023,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
189,04/01/2023,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
190,04/01/2023,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
191,04/02/2023,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
192,04/02/2023,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
193,04/02/2023,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
194,04/02/2023,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
195,04/02/2023,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
196,04/02/2023,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
197,04/02/2023,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
198,04/02/2023,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
199,04/02/2023,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
200,04/02/2023,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
