Date,Home Team,Road Team,city,state,league,sport
9/30/23,Minnesota United FC,San Jose Earthquakes,Saint Paul,Minnesota,MLS,Soccer
9/30/23,Houston Dynamo FC,FC Dallas,Houston,Texas,MLS,Soccer
9/30/23,Colorado Rapids,Austin FC,Commerce City,Colorado,MLS,Soccer
9/30/23,Vancouver Whitecaps FC,D.C. United,Vancouver,British Columbia,MLS,Soccer
9/30/23,LA Galaxy,Portland Timbers,Carson,California,MLS,Soccer
10/1/23,Los Angeles FC,Real Salt Lake,Los Angeles,California,MLS,Soccer
10/4/23,New England Revolution,Columbus Crew,Foxborough,Massachusetts,MLS,Soccer
10/4/23,Charlotte FC,Toronto FC,Charlotte,North Carolina,MLS,Soccer
10/4/23,Philadelphia Union,Atlanta United FC,Chester,Pennsylvania,MLS,Soccer
10/4/23,CF Montréal,Houston Dynamo FC,Montreal,Quebec,MLS,Soccer
10/4/23,FC Cincinnati,New York Red Bulls,Cincinnati,Ohio,MLS,Soccer
10/4/23,Chicago Fire FC,Inter Miami CF,Chicago,Illinois,MLS,Soccer
10/4/23,FC Dallas,Colorado Rapids,Frisco,Texas,MLS,Soccer
10/4/23,Nashville SC,Orlando City SC,Nashville,Tennessee,MLS,Soccer
10/4/23,Austin FC,D.C. United,Austin,Texas,MLS,Soccer
10/4/23,Seattle Sounders FC,LA Galaxy,Seattle,Washington,MLS,Soccer
10/4/23,Los Angeles FC,Minnesota United FC,Los Angeles,California,MLS,Soccer
10/4/23,Vancouver Whitecaps FC,St. Louis City SC,Vancouver,British Columbia,MLS,Soccer
10/7/23,Orlando City SC,New England Revolution,Orlando,Florida,MLS,Soccer
10/7/23,CF Montréal,Portland Timbers,Montreal,Quebec,MLS,Soccer
10/7/23,Inter Miami CF,FC Cincinnati,Fort Lauderdale,Florida,MLS,Soccer
10/7/23,New York Red Bulls,Toronto FC,Harrison,New Jersey,MLS,Soccer
10/7/23,Atlanta United FC,Columbus Crew,Atlanta,Georgia,MLS,Soccer
10/7/23,Philadelphia Union,Nashville SC,Chester,Pennsylvania,MLS,Soccer
10/7/23,D.C. United,New York City FC,Washington D.C.,Washington D.C.,MLS,Soccer
10/7/23,FC Dallas,San Jose Earthquakes,Frisco,Texas,MLS,Soccer
10/7/23,Chicago Fire FC,Charlotte FC,Chicago,Illinois,MLS,Soccer
10/7/23,Minnesota United FC,LA Galaxy,Saint Paul,Minnesota,MLS,Soccer
10/7/23,Austin FC,Los Angeles FC,Austin,Texas,MLS,Soccer
10/7/23,Houston Dynamo FC,Colorado Rapids,Houston,Texas,MLS,Soccer
10/7/23,Real Salt Lake,Sporting Kansas City,Sandy,Utah,MLS,Soccer
10/7/23,Seattle Sounders FC,Vancouver Whitecaps FC,Seattle,Washington,MLS,Soccer
10/21/23,Colorado Rapids,Real Salt Lake,Commerce City,Colorado,MLS,Soccer
10/21/23,Sporting Kansas City,Minnesota United FC,Kansas City,Kansas,MLS,Soccer
10/21/23,New England Revolution,Philadelphia Union,Foxborough,Massachusetts,MLS,Soccer
10/21/23,San Jose Earthquakes,Austin FC,San Jose,California,MLS,Soccer
10/21/23,Vancouver Whitecaps FC,Los Angeles FC,Vancouver,British Columbia,MLS,Soccer
10/21/23,Columbus Crew,CF Montréal,Columbus,Ohio,MLS,Soccer
10/21/23,LA Galaxy,FC Dallas,Carson,California,MLS,Soccer
10/21/23,New York City FC,Chicago Fire FC,New York City,New York,MLS,Soccer
10/21/23,St. Louis City SC,Seattle Sounders FC,St. Louis,Missouri,MLS,Soccer
10/21/23,Toronto FC,Orlando City SC,Toronto,Ontario,MLS,Soccer
10/21/23,FC Cincinnati,Atlanta United FC,Cincinnati,Ohio,MLS,Soccer
10/21/23,Nashville SC,New York Red Bulls,Nashville,Tennessee,MLS,Soccer
10/21/23,Portland Timbers,Houston Dynamo FC,Portland,Oregon,MLS,Soccer
10/21/23,Charlotte FC,Inter Miami CF,Charlotte,North Carolina,MLS,Soccer
