Home Team,Road Team,Date,Sport
Boston Red Sox,Baltimore Orioles,"March 30, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"March 30, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"March 30, 2023",Baseball
Houston Astros,Chicago White Sox,"March 30, 2023",Baseball
Kansas City Royals,Minnesota Twins,"March 30, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"March 30, 2023",Baseball
Miami Marlins,New York Mets,"March 30, 2023",Baseball
New York Yankees,San Francisco Giants,"March 30, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"March 30, 2023",Baseball
San Diego Padres,Colorado Rockies,"March 30, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"March 30, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"March 30, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"March 30, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"March 30, 2023",Baseball
Washington Nationals,Atlanta Braves,"March 30, 2023",Baseball
Houston Astros,Chicago White Sox,"March 31, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"March 31, 2023",Baseball
Miami Marlins,New York Mets,"March 31, 2023",Baseball
San Diego Padres,Colorado Rockies,"March 31, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"March 31, 2023",Baseball
Boston Red Sox,Baltimore Orioles,"April 01, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"April 01, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"April 01, 2023",Baseball
Houston Astros,Chicago White Sox,"April 01, 2023",Baseball
Kansas City Royals,Minnesota Twins,"April 01, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"April 01, 2023",Baseball
Miami Marlins,New York Mets,"April 01, 2023",Baseball
New York Yankees,San Francisco Giants,"April 01, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"April 01, 2023",Baseball
San Diego Padres,Colorado Rockies,"April 01, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"April 01, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"April 01, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"April 01, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"April 01, 2023",Baseball
Washington Nationals,Atlanta Braves,"April 01, 2023",Baseball
Boston Red Sox,Baltimore Orioles,"April 02, 2023",Baseball
Chicago Cubs,Milwaukee Brewers,"April 02, 2023",Baseball
Cincinnati Reds,Pittsburgh Pirates,"April 02, 2023",Baseball
Houston Astros,Chicago White Sox,"April 02, 2023",Baseball
Kansas City Royals,Minnesota Twins,"April 02, 2023",Baseball
Los Angeles Dodgers,Arizona Diamondbacks,"April 02, 2023",Baseball
Miami Marlins,New York Mets,"April 02, 2023",Baseball
New York Yankees,San Francisco Giants,"April 02, 2023",Baseball
Oakland Athletics,Los Angeles Angels,"April 02, 2023",Baseball
San Diego Padres,Colorado Rockies,"April 02, 2023",Baseball
Seattle Mariners,Cleveland Guardians,"April 02, 2023",Baseball
St. Louis Cardinals,Toronto Blue Jays,"April 02, 2023",Baseball
Tampa Bay Rays,Detroit Tigers,"April 02, 2023",Baseball
Texas Rangers,Philadelphia Phillies,"April 02, 2023",Baseball
Washington Nationals,Atlanta Braves,"April 02, 2023",Baseball
Boston Red Sox,Pittsburgh Pirates,"April 03, 2023",Baseball
Chicago White Sox,San Francisco Giants,"April 03, 2023",Baseball
Cincinnati Reds,Chicago Cubs,"April 03, 2023",Baseball
Houston Astros,Detroit Tigers,"April 03, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 03, 2023",Baseball
Los Angeles Dodgers,Colorado Rockies,"April 03, 2023",Baseball
Miami Marlins,Minnesota Twins,"April 03, 2023",Baseball
Milwaukee Brewers,New York Mets,"April 03, 2023",Baseball
New York Yankees,Philadelphia Phillies,"April 03, 2023",Baseball
Oakland Athletics,Cleveland Guardians,"April 03, 2023",Baseball
San Diego Padres,Arizona Diamondbacks,"April 03, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"April 03, 2023",Baseball
St. Louis Cardinals,Atlanta Braves,"April 03, 2023",Baseball
Texas Rangers,Baltimore Orioles,"April 03, 2023",Baseball
Washington Nationals,Tampa Bay Rays,"April 03, 2023",Baseball
Boston Red Sox,Pittsburgh Pirates,"April 04, 2023",Baseball
Cincinnati Reds,Chicago Cubs,"April 04, 2023",Baseball
Houston Astros,Detroit Tigers,"April 04, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 04, 2023",Baseball
Los Angeles Dodgers,Colorado Rockies,"April 04, 2023",Baseball
Miami Marlins,Minnesota Twins,"April 04, 2023",Baseball
Milwaukee Brewers,New York Mets,"April 04, 2023",Baseball
New York Yankees,Philadelphia Phillies,"April 04, 2023",Baseball
Oakland Athletics,Cleveland Guardians,"April 04, 2023",Baseball
San Diego Padres,Arizona Diamondbacks,"April 04, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"April 04, 2023",Baseball
St. Louis Cardinals,Atlanta Braves,"April 04, 2023",Baseball
Texas Rangers,Baltimore Orioles,"April 04, 2023",Baseball
Washington Nationals,Tampa Bay Rays,"April 04, 2023",Baseball
Boston Red Sox,Pittsburgh Pirates,"April 05, 2023",Baseball
Chicago White Sox,San Francisco Giants,"April 05, 2023",Baseball
Houston Astros,Detroit Tigers,"April 05, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 05, 2023",Baseball
Miami Marlins,Minnesota Twins,"April 05, 2023",Baseball
Milwaukee Brewers,New York Mets,"April 05, 2023",Baseball
New York Yankees,Philadelphia Phillies,"April 05, 2023",Baseball
Oakland Athletics,Cleveland Guardians,"April 05, 2023",Baseball
Seattle Mariners,Los Angeles Angels,"April 05, 2023",Baseball
St. Louis Cardinals,Atlanta Braves,"April 05, 2023",Baseball
Texas Rangers,Baltimore Orioles,"April 05, 2023",Baseball
Washington Nationals,Tampa Bay Rays,"April 05, 2023",Baseball
Arizona Diamondbacks,Los Angeles Dodgers,"April 06, 2023",Baseball
Atlanta Braves,San Diego Padres,"April 06, 2023",Baseball
Chicago White Sox,San Francisco Giants,"April 06, 2023",Baseball
Colorado Rockies,Washington Nationals,"April 06, 2023",Baseball
Detroit Tigers,Boston Red Sox,"April 06, 2023",Baseball
Kansas City Royals,Toronto Blue Jays,"April 06, 2023",Baseball
Los Angeles Angels,Toronto Blue Jays,"April 07, 2023",Baseball
Arizona Diamondbacks,Los Angeles Dodgers,"April 07, 2023",Baseball
Atlanta Braves,San Diego Padres,"April 07, 2023",Baseball
Baltimore Orioles,New York Yankees,"April 07, 2023",Baseball
Chicago Cubs,Texas Rangers,"April 07, 2023",Baseball
Cleveland Guardians,Seattle Mariners,"April 07, 2023",Baseball
Colorado Rockies,Washington Nationals,"April 07, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"April 07, 2023",Baseball
Minnesota Twins,Houston Astros,"April 07, 2023",Baseball
New York Mets,Miami Marlins,"April 07, 2023",Baseball
Philadelphia Phillies,Cincinnati Reds,"April 07, 2023",Baseball
Pittsburgh Pirates,Chicago White Sox,"April 07, 2023",Baseball
San Francisco Giants,Kansas City Royals,"April 07, 2023",Baseball
Tampa Bay Rays,Oakland Athletics,"April 07, 2023",Baseball
Los Angeles Angels,Toronto Blue Jays,"April 08, 2023",Baseball
Arizona Diamondbacks,Los Angeles Dodgers,"April 08, 2023",Baseball
Atlanta Braves,San Diego Padres,"April 08, 2023",Baseball
Baltimore Orioles,New York Yankees,"April 08, 2023",Baseball
Chicago Cubs,Texas Rangers,"April 08, 2023",Baseball
Cleveland Guardians,Seattle Mariners,"April 08, 2023",Baseball
Colorado Rockies,Washington Nationals,"April 08, 2023",Baseball
Detroit Tigers,Boston Red Sox,"April 08, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"April 08, 2023",Baseball
Minnesota Twins,Houston Astros,"April 08, 2023",Baseball
New York Mets,Miami Marlins,"April 08, 2023",Baseball
Philadelphia Phillies,Cincinnati Reds,"April 08, 2023",Baseball
Pittsburgh Pirates,Chicago White Sox,"April 08, 2023",Baseball
San Francisco Giants,Kansas City Royals,"April 08, 2023",Baseball
Tampa Bay Rays,Oakland Athletics,"April 08, 2023",Baseball
Los Angeles Angels,Toronto Blue Jays,"April 09, 2023",Baseball
Arizona Diamondbacks,Los Angeles Dodgers,"April 09, 2023",Baseball
Atlanta Braves,San Diego Padres,"April 09, 2023",Baseball
Baltimore Orioles,New York Yankees,"April 09, 2023",Baseball
Chicago Cubs,Texas Rangers,"April 09, 2023",Baseball
Cleveland Guardians,Seattle Mariners,"April 09, 2023",Baseball
Colorado Rockies,Washington Nationals,"April 09, 2023",Baseball
Detroit Tigers,Boston Red Sox,"April 09, 2023",Baseball
Milwaukee Brewers,St. Louis Cardinals,"April 09, 2023",Baseball
Minnesota Twins,Houston Astros,"April 09, 2023",Baseball
New York Mets,Miami Marlins,"April 09, 2023",Baseball
Philadelphia Phillies,Cincinnati Reds,"April 09, 2023",Baseball
Pittsburgh Pirates,Chicago White Sox,"April 09, 2023",Baseball
San Francisco Giants,Kansas City Royals,"April 09, 2023",Baseball
Tampa Bay Rays,Oakland Athletics,"April 09, 2023",Baseball
Los Angeles Angels,Washington Nationals,"April 10, 2023",Baseball
Arizona Diamondbacks,Milwaukee Brewers,"April 10, 2023",Baseball
Atlanta Braves,Cincinnati Reds,"April 10, 2023",Baseball
Baltimore Orioles,Oakland Athletics,"April 10, 2023",Baseball
Chicago Cubs,Seattle Mariners,"April 10, 2023",Baseball
Cleveland Guardians,New York Yankees,"April 10, 2023",Baseball
Colorado Rockies,St. Louis Cardinals,"April 10, 2023",Baseball
Minnesota Twins,Chicago White Sox,"April 10, 2023",Baseball
New York Mets,San Diego Padres,"April 10, 2023",Baseball
Philadelphia Phillies,Miami Marlins,"April 10, 2023",Baseball
Pittsburgh Pirates,Houston Astros,"April 10, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"April 10, 2023",Baseball
Tampa Bay Rays,Boston Red Sox,"April 10, 2023",Baseball
Texas Rangers,Kansas City Royals,"April 10, 2023",Baseball
Los Angeles Angels,Washington Nationals,"April 11, 2023",Baseball
Arizona Diamondbacks,Milwaukee Brewers,"April 11, 2023",Baseball
Atlanta Braves,Cincinnati Reds,"April 11, 2023",Baseball
Baltimore Orioles,Oakland Athletics,"April 11, 2023",Baseball
Chicago Cubs,Seattle Mariners,"April 11, 2023",Baseball
Cleveland Guardians,New York Yankees,"April 11, 2023",Baseball
Colorado Rockies,St. Louis Cardinals,"April 11, 2023",Baseball
Minnesota Twins,Chicago White Sox,"April 11, 2023",Baseball
New York Mets,San Diego Padres,"April 11, 2023",Baseball
Philadelphia Phillies,Miami Marlins,"April 11, 2023",Baseball
Pittsburgh Pirates,Houston Astros,"April 11, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"April 11, 2023",Baseball
Tampa Bay Rays,Boston Red Sox,"April 11, 2023",Baseball
Texas Rangers,Kansas City Royals,"April 11, 2023",Baseball
Toronto Blue Jays,Detroit Tigers,"April 11, 2023",Baseball
Los Angeles Angels,Washington Nationals,"April 12, 2023",Baseball
Arizona Diamondbacks,Milwaukee Brewers,"April 12, 2023",Baseball
Atlanta Braves,Cincinnati Reds,"April 12, 2023",Baseball
Baltimore Orioles,Oakland Athletics,"April 12, 2023",Baseball
Chicago Cubs,Seattle Mariners,"April 12, 2023",Baseball
Cleveland Guardians,New York Yankees,"April 12, 2023",Baseball
Colorado Rockies,St. Louis Cardinals,"April 12, 2023",Baseball
Minnesota Twins,Chicago White Sox,"April 12, 2023",Baseball
New York Mets,San Diego Padres,"April 12, 2023",Baseball
Philadelphia Phillies,Miami Marlins,"April 12, 2023",Baseball
Pittsburgh Pirates,Houston Astros,"April 12, 2023",Baseball
San Francisco Giants,Los Angeles Dodgers,"April 12, 2023",Baseball
Tampa Bay Rays,Boston Red Sox,"April 12, 2023",Baseball
Texas Rangers,Kansas City Royals,"April 12, 2023",Baseball
Toronto Blue Jays,Detroit Tigers,"April 12, 2023",Baseball
Baltimore Orioles,Oakland Athletics,"April 13, 2023",Baseball
Cincinnati Reds,Philadelphia Phillies,"April 13, 2023",Baseball
New York Yankees,Minnesota Twins,"April 13, 2023",Baseball
San Diego Padres,Milwaukee Brewers,"April 13, 2023",Baseball
St. Louis Cardinals,Pittsburgh Pirates,"April 13, 2023",Baseball
Tampa Bay Rays,Boston Red Sox,"April 13, 2023",Baseball
Toronto Blue Jays,Detroit Tigers,"April 13, 2023",Baseball
Boston Red Sox,Los Angeles Angels,"April 14, 2023",Baseball
Chicago White Sox,Baltimore Orioles,"April 14, 2023",Baseball
Cincinnati Reds,Philadelphia Phillies,"April 14, 2023",Baseball
Detroit Tigers,San Francisco Giants,"April 14, 2023",Baseball
Houston Astros,Texas Rangers,"April 14, 2023",Baseball
Kansas City Royals,Atlanta Braves,"April 14, 2023",Baseball
Los Angeles Dodgers,Chicago Cubs,"April 14, 2023",Baseball
Miami Marlins,Arizona Diamondbacks,"April 14, 2023",Baseball
New York Yankees,Minnesota Twins,"April 14, 2023",Baseball
Oakland Athletics,New York Mets,"April 14, 2023",Baseball
San Diego Padres,Milwaukee Brewers,"April 14, 2023",Baseball
Seattle Mariners,Colorado Rockies,"April 14, 2023",Baseball
St. Louis Cardinals,Pittsburgh Pirates,"April 14, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"April 14, 2023",Baseball
Washington Nationals,Cleveland Guardians,"April 14, 2023",Baseball
Boston Red Sox,Los Angeles Angels,"April 15, 2023",Baseball
Chicago White Sox,Baltimore Orioles,"April 15, 2023",Baseball
Cincinnati Reds,Philadelphia Phillies,"April 15, 2023",Baseball
Detroit Tigers,San Francisco Giants,"April 15, 2023",Baseball
Houston Astros,Texas Rangers,"April 15, 2023",Baseball
Kansas City Royals,Atlanta Braves,"April 15, 2023",Baseball
Los Angeles Dodgers,Chicago Cubs,"April 15, 2023",Baseball
Miami Marlins,Arizona Diamondbacks,"April 15, 2023",Baseball
New York Yankees,Minnesota Twins,"April 15, 2023",Baseball
Oakland Athletics,New York Mets,"April 15, 2023",Baseball
San Diego Padres,Milwaukee Brewers,"April 15, 2023",Baseball
Seattle Mariners,Colorado Rockies,"April 15, 2023",Baseball
St. Louis Cardinals,Pittsburgh Pirates,"April 15, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"April 15, 2023",Baseball
Washington Nationals,Cleveland Guardians,"April 15, 2023",Baseball
Boston Red Sox,Los Angeles Angels,"April 16, 2023",Baseball
Chicago White Sox,Baltimore Orioles,"April 16, 2023",Baseball
Cincinnati Reds,Philadelphia Phillies,"April 16, 2023",Baseball
Houston Astros,Texas Rangers,"April 16, 2023",Baseball
Kansas City Royals,Atlanta Braves,"April 16, 2023",Baseball
Los Angeles Dodgers,Chicago Cubs,"April 16, 2023",Baseball
Miami Marlins,Arizona Diamondbacks,"April 16, 2023",Baseball
New York Yankees,Minnesota Twins,"April 16, 2023",Baseball
Oakland Athletics,New York Mets,"April 16, 2023",Baseball
San Diego Padres,Milwaukee Brewers,"April 16, 2023",Baseball
Seattle Mariners,Colorado Rockies,"April 16, 2023",Baseball
St. Louis Cardinals,Pittsburgh Pirates,"April 16, 2023",Baseball
Toronto Blue Jays,Tampa Bay Rays,"April 16, 2023",Baseball
Washington Nationals,Cleveland Guardians,"April 16, 2023",Baseball
Boston Red Sox,Los Angeles Angels,"April 17, 2023",Baseball
Cincinnati Reds,Tampa Bay Rays,"April 17, 2023",Baseball
Colorado Rockies,Pittsburgh Pirates,"April 17, 2023",Baseball
Houston Astros,Toronto Blue Jays,"April 17, 2023",Baseball
Kansas City Royals,Texas Rangers,"April 17, 2023",Baseball
Los Angeles Dodgers,New York Mets,"April 17, 2023",Baseball
Miami Marlins,San Francisco Giants,"April 17, 2023",Baseball
Oakland Athletics,Chicago Cubs,"April 17, 2023",Baseball
San Diego Padres,Atlanta Braves,"April 17, 2023",Baseball
Seattle Mariners,Milwaukee Brewers,"April 17, 2023",Baseball
St. Louis Cardinals,Arizona Diamondbacks,"April 17, 2023",Baseball
Boston Red Sox,Minnesota Twins,"April 18, 2023",Baseball
Chicago White Sox,Philadelphia Phillies,"April 18, 2023",Baseball
Chicago White Sox,Philadelphia Phillies,"April 18, 2023",Baseball
Cincinnati Reds,Tampa Bay Rays,"April 18, 2023",Baseball
Colorado Rockies,Pittsburgh Pirates,"April 18, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"April 18, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"April 18, 2023",Baseball
Houston Astros,Toronto Blue Jays,"April 18, 2023",Baseball
Kansas City Royals,Texas Rangers,"April 18, 2023",Baseball
Los Angeles Dodgers,New York Mets,"April 18, 2023",Baseball
Miami Marlins,San Francisco Giants,"April 18, 2023",Baseball
New York Yankees,Los Angeles Angels,"April 18, 2023",Baseball
Oakland Athletics,Chicago Cubs,"April 18, 2023",Baseball
San Diego Padres,Atlanta Braves,"April 18, 2023",Baseball
Seattle Mariners,Milwaukee Brewers,"April 18, 2023",Baseball
St. Louis Cardinals,Arizona Diamondbacks,"April 18, 2023",Baseball
Washington Nationals,Baltimore Orioles,"April 18, 2023",Baseball
Boston Red Sox,Minnesota Twins,"April 19, 2023",Baseball
Chicago White Sox,Philadelphia Phillies,"April 19, 2023",Baseball
Cincinnati Reds,Tampa Bay Rays,"April 19, 2023",Baseball
Colorado Rockies,Pittsburgh Pirates,"April 19, 2023",Baseball
Detroit Tigers,Cleveland Guardians,"April 19, 2023",Baseball
Houston Astros,Toronto Blue Jays,"April 19, 2023",Baseball
Kansas City Royals,Texas Rangers,"April 19, 2023",Baseball
Los Angeles Dodgers,New York Mets,"April 19, 2023",Baseball
Miami Marlins,San Francisco Giants,"April 19, 2023",Baseball
New York Yankees,Los Angeles Angels,"April 19, 2023",Baseball
Oakland Athletics,Chicago Cubs,"April 19, 2023",Baseball
San Diego Padres,Atlanta Braves,"April 19, 2023",Baseball
Seattle Mariners,Milwaukee Brewers,"April 19, 2023",Baseball
St. Louis Cardinals,Arizona Diamondbacks,"April 19, 2023",Baseball
Washington Nationals,Baltimore Orioles,"April 19, 2023",Baseball
Arizona Diamondbacks,San Diego Padres,"April 20, 2023",Baseball
Boston Red Sox,Minnesota Twins,"April 20, 2023",Baseball
Chicago Cubs,Los Angeles Dodgers,"April 20, 2023",Baseball
New York Yankees,Los Angeles Angels,"April 20, 2023",Baseball
Philadelphia Phillies,Colorado Rockies,"April 20, 2023",Baseball
Pittsburgh Pirates,Cincinnati Reds,"April 20, 2023",Baseball
San Francisco Giants,New York Mets,"April 20, 2023",Baseball
Los Angeles Angels,Kansas City Royals,"April 21, 2023",Baseball
Arizona Diamondbacks,San Diego Padres,"April 21, 2023",Baseball
Atlanta Braves,Houston Astros,"April 21, 2023",Baseball
Baltimore Orioles,Detroit Tigers,"April 21, 2023",Baseball
Chicago Cubs,Los Angeles Dodgers,"April 21, 2023",Baseball
Milwaukee Brewers,Boston Red Sox,"April 21, 2023",Baseball
Minnesota Twins,Washington Nationals,"April 21, 2023",Baseball
New York Yankees,Toronto Blue Jays,"April 21, 2023",Baseball
Philadelphia Phillies,Colorado Rockies,"April 21, 2023",Baseball
Pittsburgh Pirates,Cincinnati Reds,"April 21, 2023",Baseball
Seattle Mariners,St. Louis Cardinals,"April 21, 2023",Baseball
San Francisco Giants,New York Mets,"April 21, 2023",Baseball
Tampa Bay Rays,Chicago White Sox,"April 21, 2023",Baseball
Texas Rangers,Oakland Athletics,"April 21, 2023",Baseball
Los Angeles Angels,Kansas City Royals,"April 22, 2023",Baseball
Arizona Diamondbacks,San Diego Padres,"April 22, 2023",Baseball
Atlanta Braves,Houston Astros,"April 22, 2023",Baseball
Baltimore Orioles,Detroit Tigers,"April 22, 2023",Baseball
Chicago Cubs,Los Angeles Dodgers,"April 22, 2023",Baseball
Cleveland Guardians,Miami Marlins,"April 22, 2023",Baseball
Cleveland Guardians,Miami Marlins,"April 22, 2023",Baseball
Milwaukee Brewers,Boston Red Sox,"April 22, 2023",Baseball
Minnesota Twins,Washington Nationals,"April 22, 2023",Baseball
New York Yankees,Toronto Blue Jays,"April 22, 2023",Baseball
Philadelphia Phillies,Colorado Rockies,"April 22, 2023",Baseball
Pittsburgh Pirates,Cincinnati Reds,"April 22, 2023",Baseball
Seattle Mariners,St. Louis Cardinals,"April 22, 2023",Baseball
San Francisco Giants,New York Mets,"April 22, 2023",Baseball
Tampa Bay Rays,Chicago White Sox,"April 22, 2023",Baseball
Texas Rangers,Oakland Athletics,"April 22, 2023",Baseball
Los Angeles Angels,Kansas City Royals,"April 23, 2023",Baseball
Arizona Diamondbacks,San Diego Padres,"April 23, 2023",Baseball
Atlanta Braves,Houston Astros,"April 23, 2023",Baseball
Baltimore Orioles,Detroit Tigers,"April 23, 2023",Baseball
Chicago Cubs,Los Angeles Dodgers,"April 23, 2023",Baseball
Cleveland Guardians,Miami Marlins,"April 23, 2023",Baseball
Milwaukee Brewers,Boston Red Sox,"April 23, 2023",Baseball
Minnesota Twins,Washington Nationals,"April 23, 2023",Baseball
New York Yankees,Toronto Blue Jays,"April 23, 2023",Baseball
Philadelphia Phillies,Colorado Rockies,"April 23, 2023",Baseball
Pittsburgh Pirates,Cincinnati Reds,"April 23, 2023",Baseball
Seattle Mariners,St. Louis Cardinals,"April 23, 2023",Baseball
San Francisco Giants,New York Mets,"April 23, 2023",Baseball
Tampa Bay Rays,Chicago White Sox,"April 23, 2023",Baseball
Texas Rangers,Oakland Athletics,"April 23, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"April 24, 2023",Baseball
Arizona Diamondbacks,Kansas City Royals,"April 24, 2023",Baseball
Atlanta Braves,Miami Marlins,"April 24, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"April 24, 2023",Baseball
Cincinnati Reds,Texas Rangers,"April 24, 2023",Baseball
Cleveland Guardians,Colorado Rockies,"April 24, 2023",Baseball
Milwaukee Brewers,Detroit Tigers,"April 24, 2023",Baseball
Minnesota Twins,New York Yankees,"April 24, 2023",Baseball
San Francisco Giants,St. Louis Cardinals,"April 24, 2023",Baseball
Tampa Bay Rays,Houston Astros,"April 24, 2023",Baseball
Toronto Blue Jays,Chicago White Sox,"April 24, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"April 25, 2023",Baseball
Arizona Diamondbacks,Kansas City Royals,"April 25, 2023",Baseball
Atlanta Braves,Miami Marlins,"April 25, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"April 25, 2023",Baseball
Chicago Cubs,San Diego Padres,"April 25, 2023",Baseball
Cincinnati Reds,Texas Rangers,"April 25, 2023",Baseball
Cleveland Guardians,Colorado Rockies,"April 25, 2023",Baseball
Milwaukee Brewers,Detroit Tigers,"April 25, 2023",Baseball
Minnesota Twins,New York Yankees,"April 25, 2023",Baseball
New York Mets,Washington Nationals,"April 25, 2023",Baseball
Philadelphia Phillies,Seattle Mariners,"April 25, 2023",Baseball
Pittsburgh Pirates,Los Angeles Dodgers,"April 25, 2023",Baseball
San Francisco Giants,St. Louis Cardinals,"April 25, 2023",Baseball
Tampa Bay Rays,Houston Astros,"April 25, 2023",Baseball
Toronto Blue Jays,Chicago White Sox,"April 25, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"April 26, 2023",Baseball
Arizona Diamondbacks,Kansas City Royals,"April 26, 2023",Baseball
Atlanta Braves,Miami Marlins,"April 26, 2023",Baseball
Baltimore Orioles,Boston Red Sox,"April 26, 2023",Baseball
Chicago Cubs,San Diego Padres,"April 26, 2023",Baseball
Cincinnati Reds,Texas Rangers,"April 26, 2023",Baseball
Cleveland Guardians,Colorado Rockies,"April 26, 2023",Baseball
Milwaukee Brewers,Detroit Tigers,"April 26, 2023",Baseball
Minnesota Twins,New York Yankees,"April 26, 2023",Baseball
New York Mets,Washington Nationals,"April 26, 2023",Baseball
Philadelphia Phillies,Seattle Mariners,"April 26, 2023",Baseball
Pittsburgh Pirates,Los Angeles Dodgers,"April 26, 2023",Baseball
San Francisco Giants,St. Louis Cardinals,"April 26, 2023",Baseball
Tampa Bay Rays,Houston Astros,"April 26, 2023",Baseball
Toronto Blue Jays,Chicago White Sox,"April 26, 2023",Baseball
Los Angeles Angels,Oakland Athletics,"April 27, 2023",Baseball
Atlanta Braves,Miami Marlins,"April 27, 2023",Baseball
Chicago White Sox,Tampa Bay Rays,"April 27, 2023",Baseball
Chicago Cubs,San Diego Padres,"April 27, 2023",Baseball
Detroit Tigers,Baltimore Orioles,"April 27, 2023",Baseball
Minnesota Twins,Kansas City Royals,"April 27, 2023",Baseball
New York Mets,Washington Nationals,"April 27, 2023",Baseball
Philadelphia Phillies,Seattle Mariners,"April 27, 2023",Baseball
Pittsburgh Pirates,Los Angeles Dodgers,"April 27, 2023",Baseball
San Francisco Giants,St. Louis Cardinals,"April 27, 2023",Baseball
Texas Rangers,New York Yankees,"April 27, 2023",Baseball
Boston Red Sox,Cleveland Guardians,"April 28, 2023",Baseball
Chicago White Sox,Tampa Bay Rays,"April 28, 2023",Baseball
Colorado Rockies,Arizona Diamondbacks,"April 28, 2023",Baseball
Houston Astros,Philadelphia Phillies,"April 28, 2023",Baseball
Los Angeles Dodgers,St. Louis Cardinals,"April 28, 2023",Baseball
Miami Marlins,Chicago Cubs,"April 28, 2023",Baseball
Milwaukee Brewers,Los Angeles Angels,"April 28, 2023",Baseball
Minnesota Twins,Kansas City Royals,"April 28, 2023",Baseball
New York Mets,Atlanta Braves,"April 28, 2023",Baseball
Oakland Athletics,Cincinnati Reds,"April 28, 2023",Baseball
Texas Rangers,New York Yankees,"April 28, 2023",Baseball
Toronto Blue Jays,Seattle Mariners,"April 28, 2023",Baseball
Boston Red Sox,Cleveland Guardians,"April 29, 2023",Baseball
Chicago White Sox,Tampa Bay Rays,"April 29, 2023",Baseball
Colorado Rockies,Arizona Diamondbacks,"April 29, 2023",Baseball
Detroit Tigers,Baltimore Orioles,"April 29, 2023",Baseball
Detroit Tigers,Baltimore Orioles,"April 29, 2023",Baseball
Houston Astros,Philadelphia Phillies,"April 29, 2023",Baseball
Los Angeles Dodgers,St. Louis Cardinals,"April 29, 2023",Baseball
Miami Marlins,Chicago Cubs,"April 29, 2023",Baseball
Milwaukee Brewers,Los Angeles Angels,"April 29, 2023",Baseball
Minnesota Twins,Kansas City Royals,"April 29, 2023",Baseball
Oakland Athletics,Cincinnati Reds,"April 29, 2023",Baseball
San Diego Padres,San Francisco Giants,"April 29, 2023",Baseball
Texas Rangers,New York Yankees,"April 29, 2023",Baseball
Toronto Blue Jays,Seattle Mariners,"April 29, 2023",Baseball
Washington Nationals,Pittsburgh Pirates,"April 29, 2023",Baseball
Washington Nationals,Pittsburgh Pirates,"April 29, 2023",Baseball
Boston Red Sox,Cleveland Guardians,"April 30, 2023",Baseball
Chicago White Sox,Tampa Bay Rays,"April 30, 2023",Baseball
Colorado Rockies,Arizona Diamondbacks,"April 30, 2023",Baseball
Detroit Tigers,Baltimore Orioles,"April 30, 2023",Baseball
Houston Astros,Philadelphia Phillies,"April 30, 2023",Baseball
Los Angeles Dodgers,St. Louis Cardinals,"April 30, 2023",Baseball
Miami Marlins,Chicago Cubs,"April 30, 2023",Baseball
Milwaukee Brewers,Los Angeles Angels,"April 30, 2023",Baseball
Minnesota Twins,Kansas City Royals,"April 30, 2023",Baseball
Oakland Athletics,Cincinnati Reds,"April 30, 2023",Baseball
San Diego Padres,San Francisco Giants,"April 30, 2023",Baseball
Texas Rangers,New York Yankees,"April 30, 2023",Baseball
Toronto Blue Jays,Seattle Mariners,"April 30, 2023",Baseball
Washington Nationals,Pittsburgh Pirates,"April 30, 2023",Baseball
