id,game_date,home_team,road_team,city,state,league,sport
95,2023-09-23,FC Dallas,Columbus Crew,Frisco,Texas,MLS,Soccer
96,2023-09-23,Sporting Kansas City,Houston Dynamo FC,Kansas City,Kansas,MLS,Soccer
97,2023-09-23,Real Salt Lake,Vancouver Whitecaps FC,Sandy,Utah,MLS,Soccer
98,2023-09-23,Portland Timbers,Colorado Rapids,Portland,Oregon,MLS,Soccer
99,2023-09-23,San Jose Earthquakes,Nashville SC,San Jose,California,MLS,Soccer
100,2023-09-24,Orlando City SC,Inter Miami CF,Orlando,Florida,MLS,Soccer
101,2023-09-24,Austin FC,LA Galaxy,Austin,Texas,MLS,Soccer
102,2023-09-30,Inter Miami CF,New York City FC,Fort Lauderdale,Florida,MLS,Soccer
103,2023-09-30,Toronto FC,FC Cincinnati,Toronto,Ontario,MLS,Soccer
104,2023-09-30,New England Revolution,Charlotte FC,Foxborough,Massachusetts,MLS,Soccer
105,2023-09-30,Orlando City SC,CF Montréal,Orlando,Florida,MLS,Soccer
106,2023-09-30,Columbus Crew,Philadelphia Union,Columbus,Ohio,MLS,Soccer
107,2023-09-30,New York Red Bulls,Chicago Fire FC,Harrison,New Jersey,MLS,Soccer
108,2023-09-30,Nashville SC,Seattle Sounders FC,Nashville,Tennessee,MLS,Soccer
109,2023-09-30,St. Louis City SC,Sporting Kansas City,St. Louis,Missouri,MLS,Soccer
110,2023-09-30,Minnesota United FC,San Jose Earthquakes,Saint Paul,Minnesota,MLS,Soccer
111,2023-09-30,Houston Dynamo FC,FC Dallas,Houston,Texas,MLS,Soccer
112,2023-09-30,Colorado Rapids,Austin FC,Commerce City,Colorado,MLS,Soccer
113,2023-09-30,Vancouver Whitecaps FC,D.C. United,Vancouver,British Columbia,MLS,Soccer
114,2023-09-30,LA Galaxy,Portland Timbers,Carson,California,MLS,Soccer
115,2023-10-01,Los Angeles FC,Real Salt Lake,Los Angeles,California,MLS,Soccer
116,2023-10-04,New England Revolution,Columbus Crew,Foxborough,Massachusetts,MLS,Soccer
117,2023-10-04,Charlotte FC,Toronto FC,Charlotte,North Carolina,MLS,Soccer
118,2023-10-04,Philadelphia Union,Atlanta United FC,Chester,Pennsylvania,MLS,Soccer
119,2023-10-04,CF Montréal,Houston Dynamo FC,Montreal,Quebec,MLS,Soccer
120,2023-10-04,FC Cincinnati,New York Red Bulls,Cincinnati,Ohio,MLS,Soccer
121,2023-10-04,Chicago Fire FC,Inter Miami CF,Chicago,Illinois,MLS,Soccer
122,2023-10-04,FC Dallas,Colorado Rapids,Frisco,Texas,MLS,Soccer
123,2023-10-04,Nashville SC,Orlando City SC,Nashville,Tennessee,MLS,Soccer
124,2023-10-04,Austin FC,D.C. United,Austin,Texas,MLS,Soccer
125,2023-10-04,Seattle Sounders FC,LA Galaxy,Seattle,Washington,MLS,Soccer
126,2023-10-04,Los Angeles FC,Minnesota United FC,Los Angeles,California,MLS,Soccer
127,2023-10-04,Vancouver Whitecaps FC,St. Louis City SC,Vancouver,British Columbia,MLS,Soccer
128,2023-10-07,Orlando City SC,New England Revolution,Orlando,Florida,MLS,Soccer
129,2023-10-07,CF Montréal,Portland Timbers,Montreal,Quebec,MLS,Soccer
130,2023-10-07,Inter Miami CF,FC Cincinnati,Fort Lauderdale,Florida,MLS,Soccer
131,2023-10-07,New York Red Bulls,Toronto FC,Harrison,New Jersey,MLS,Soccer
132,2023-10-07,Atlanta United FC,Columbus Crew,Atlanta,Georgia,MLS,Soccer
133,2023-10-07,Philadelphia Union,Nashville SC,Chester,Pennsylvania,MLS,Soccer
134,2023-10-07,D.C. United,New York City FC,Washington D.C.,Washington D.C.,MLS,Soccer
135,2023-10-07,FC Dallas,San Jose Earthquakes,Frisco,Texas,MLS,Soccer
136,2023-10-07,Chicago Fire FC,Charlotte FC,Chicago,Illinois,MLS,Soccer
137,2023-10-07,Minnesota United FC,LA Galaxy,Saint Paul,Minnesota,MLS,Soccer
138,2023-10-07,Austin FC,Los Angeles FC,Austin,Texas,MLS,Soccer
139,2023-10-07,Houston Dynamo FC,Colorado Rapids,Houston,Texas,MLS,Soccer
140,2023-10-07,Real Salt Lake,Sporting Kansas City,Sandy,Utah,MLS,Soccer
141,2023-10-07,Seattle Sounders FC,Vancouver Whitecaps FC,Seattle,Washington,MLS,Soccer
142,2023-10-21,Colorado Rapids,Real Salt Lake,Commerce City,Colorado,MLS,Soccer
143,2023-10-21,Sporting Kansas City,Minnesota United FC,Kansas City,Kansas,MLS,Soccer
144,2023-10-21,New England Revolution,Philadelphia Union,Foxborough,Massachusetts,MLS,Soccer
145,2023-10-21,San Jose Earthquakes,Austin FC,San Jose,California,MLS,Soccer
146,2023-10-21,Vancouver Whitecaps FC,Los Angeles FC,Vancouver,British Columbia,MLS,Soccer
147,2023-10-21,Columbus Crew,CF Montréal,Columbus,Ohio,MLS,Soccer
148,2023-10-21,LA Galaxy,FC Dallas,Carson,California,MLS,Soccer
149,2023-10-21,New York City FC,Chicago Fire FC,New York City,New York,MLS,Soccer
150,2023-10-21,St. Louis City SC,Seattle Sounders FC,St. Louis,Missouri,MLS,Soccer
151,2023-10-21,Toronto FC,Orlando City SC,Toronto,Ontario,MLS,Soccer
152,2023-10-21,FC Cincinnati,Atlanta United FC,Cincinnati,Ohio,MLS,Soccer
153,2023-10-21,Nashville SC,New York Red Bulls,Nashville,Tennessee,MLS,Soccer
154,2023-10-21,Portland Timbers,Houston Dynamo FC,Portland,Oregon,MLS,Soccer
155,2023-10-21,Charlotte FC,Inter Miami CF,Charlotte,North Carolina,MLS,Soccer
156,2023-03-30,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
157,2023-03-30,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
158,2023-03-30,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
159,2023-03-30,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
160,2023-03-30,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
161,2023-03-30,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
162,2023-03-30,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
163,2023-03-30,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
164,2023-03-30,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
165,2023-03-30,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
166,2023-03-30,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
167,2023-03-30,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
168,2023-03-30,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
169,2023-03-30,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
170,2023-03-30,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
171,2023-03-31,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
172,2023-03-31,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
173,2023-03-31,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
174,2023-03-31,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
175,2023-03-31,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
176,2023-04-01,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
177,2023-04-01,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
178,2023-04-01,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
179,2023-04-01,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
180,2023-04-01,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
181,2023-04-01,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
182,2023-04-01,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
183,2023-04-01,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
184,2023-04-01,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
185,2023-04-01,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
186,2023-04-01,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
187,2023-04-01,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
188,2023-04-01,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
189,2023-04-01,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
190,2023-04-01,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
191,2023-04-02,Boston Red Sox,Baltimore Orioles,Boston,Massachusetts,MLB,Baseball
192,2023-04-02,Chicago Cubs,Milwaukee Brewers,Chicago,Illinois,MLB,Baseball
193,2023-04-02,Cincinnati Reds,Pittsburgh Pirates,Cincinnati,Ohio,MLB,Baseball
194,2023-04-02,Houston Astros,Chicago White Sox,Houston,Texas,MLB,Baseball
195,2023-04-02,Kansas City Royals,Minnesota Twins,Kansas City,Missouri,MLB,Baseball
196,2023-04-02,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles,California,MLB,Baseball
197,2023-04-02,Miami Marlins,New York Mets,Miami,Florida,MLB,Baseball
198,2023-04-02,New York Yankees,San Francisco Giants,New York,New York,MLB,Baseball
199,2023-04-02,Oakland Athletics,Los Angeles Angels,Oakland,California,MLB,Baseball
200,2023-04-02,San Diego Padres,Colorado Rockies,San Diego,California,MLB,Baseball
201,2023-04-02,Seattle Mariners,Cleveland Guardians,Seattle,Washington,MLB,Baseball
202,2023-04-02,St. Louis Cardinals,Toronto Blue Jays,St. Louis,Missouri,MLB,Baseball
203,2023-04-02,Tampa Bay Rays,Detroit Tigers,Tampa,Florida,MLB,Baseball
204,2023-04-02,Texas Rangers,Philadelphia Phillies,Arlington,Texas,MLB,Baseball
205,2023-04-02,Washington Nationals,Atlanta Braves,Washington D.C.,Washington D.C.,MLB,Baseball
206,2023-04-03,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
207,2023-04-03,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
208,2023-04-03,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
209,2023-04-03,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
210,2023-04-03,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
211,2023-04-03,Los Angeles Dodgers,Colorado Rockies,Los Angeles,California,MLB,Baseball
212,2023-04-03,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
213,2023-04-03,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
214,2023-04-03,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
215,2023-04-03,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
216,2023-04-03,San Diego Padres,Arizona Diamondbacks,San Diego,California,MLB,Baseball
217,2023-04-03,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
218,2023-04-03,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
219,2023-04-03,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
220,2023-04-03,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
221,2023-04-04,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
222,2023-04-04,Cincinnati Reds,Chicago Cubs,Cincinnati,Ohio,MLB,Baseball
223,2023-04-04,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
224,2023-04-04,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
225,2023-04-04,Los Angeles Dodgers,Colorado Rockies,Los Angeles,California,MLB,Baseball
226,2023-04-04,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
227,2023-04-04,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
228,2023-04-04,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
229,2023-04-04,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
230,2023-04-04,San Diego Padres,Arizona Diamondbacks,San Diego,California,MLB,Baseball
231,2023-04-04,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
232,2023-04-04,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
233,2023-04-04,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
234,2023-04-04,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
235,2023-04-05,Boston Red Sox,Pittsburgh Pirates,Boston,Massachusetts,MLB,Baseball
236,2023-04-05,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
237,2023-04-05,Houston Astros,Detroit Tigers,Houston,Texas,MLB,Baseball
238,2023-04-05,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
239,2023-04-05,Miami Marlins,Minnesota Twins,Miami,Florida,MLB,Baseball
240,2023-04-05,Milwaukee Brewers,New York Mets,Milwaukee,Wisconsin,MLB,Baseball
241,2023-04-05,New York Yankees,Philadelphia Phillies,New York,New York,MLB,Baseball
242,2023-04-05,Oakland Athletics,Cleveland Guardians,Oakland,California,MLB,Baseball
243,2023-04-05,Seattle Mariners,Los Angeles Angels,Seattle,Washington,MLB,Baseball
244,2023-04-05,St. Louis Cardinals,Atlanta Braves,St. Louis,Missouri,MLB,Baseball
245,2023-04-05,Texas Rangers,Baltimore Orioles,Arlington,Texas,MLB,Baseball
246,2023-04-05,Washington Nationals,Tampa Bay Rays,Washington D.C.,Washington D.C.,MLB,Baseball
247,2023-04-06,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
248,2023-04-06,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
249,2023-04-06,Chicago White Sox,San Francisco Giants,Chicago,Illinois,MLB,Baseball
250,2023-04-06,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
251,2023-04-06,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
252,2023-04-06,Kansas City Royals,Toronto Blue Jays,Kansas City,Missouri,MLB,Baseball
253,2023-04-07,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
254,2023-04-07,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
255,2023-04-07,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
256,2023-04-07,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
257,2023-04-07,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
258,2023-04-07,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
259,2023-04-07,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
260,2023-04-07,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
261,2023-04-07,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
262,2023-04-07,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
263,2023-04-07,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
264,2023-04-07,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
265,2023-04-07,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
266,2023-04-07,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
267,2023-04-08,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
268,2023-04-08,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
269,2023-04-08,Atlanta Braves,San Diego Padres,Atlanta,Georgia,MLB,Baseball
270,2023-04-08,Baltimore Orioles,New York Yankees,Baltimore,Maryland,MLB,Baseball
271,2023-04-08,Chicago Cubs,Texas Rangers,Chicago,Illinois,MLB,Baseball
272,2023-04-08,Cleveland Guardians,Seattle Mariners,Cleveland,Ohio,MLB,Baseball
273,2023-04-08,Colorado Rockies,Washington Nationals,Denver,Colorado,MLB,Baseball
274,2023-04-08,Detroit Tigers,Boston Red Sox,Detroit,Michigan,MLB,Baseball
275,2023-04-08,Milwaukee Brewers,St. Louis Cardinals,Milwaukee,Wisconsin,MLB,Baseball
276,2023-04-08,Minnesota Twins,Houston Astros,Minneapolis,Minnesota,MLB,Baseball
277,2023-04-08,New York Mets,Miami Marlins,New York,New York,MLB,Baseball
278,2023-04-08,Philadelphia Phillies,Cincinnati Reds,Philadelphia,Pennsylvania,MLB,Baseball
279,2023-04-08,Pittsburgh Pirates,Chicago White Sox,Pittsburgh,Pennsylvania,MLB,Baseball
280,2023-04-08,San Francisco Giants,Kansas City Royals,San Francisco,California,MLB,Baseball
281,2023-04-08,Tampa Bay Rays,Oakland Athletics,Tampa,Florida,MLB,Baseball
282,2023-04-09,Los Angeles Angels,Toronto Blue Jays,Los Angeles,California,MLB,Baseball
283,2023-04-09,Arizona Diamondbacks,Los Angeles Dodgers,Phoenix,Arizona,MLB,Baseball
